Country Code;City;Location;Coordinates;Pollutant;Source Name;Unit;Value;Last Updated;Country Label
IN;Delhi;Mandir Marg, Delhi - DPCC;28.6341, 77.2005;O3;CPCB;µg/m³;2.6;2018-02-22T02:45:00+05:30;India
IN;Delhi;Lodhi Road, Delhi - IMD;;NO2;CPCB;µg/m³;19.75;2018-02-22T02:30:00+05:30;India
IN;Delhi;NSIT Dwarka, Delhi - CPCB;28.60909, 77.0325413;PM2.5;caaqm;µg/m³;208.4;2022-10-31T07:30:00+05:30;India
IN;Delhi;Shadipur, Delhi - CPCB;28.6514781, 77.1473105;PM2.5;caaqm;µg/m³;139.2;2022-10-31T07:30:00+05:30;India
IN;Delhi;Dwarka-Sector 8, Delhi - DPCC;28.5710274, 77.0719006;O3;caaqm;µg/m³;3.1;2022-10-31T06:15:00+05:30;India
IN;Delhi;Vivek Vihar, Delhi - DPCC;28.672342, 77.31526;O3;caaqm;µg/m³;9.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Sonia Vihar, Delhi - DPCC;28.710508, 77.249485;SO2;caaqm;µg/m³;6.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Wazirpur, Delhi - DPCC;28.699793, 77.165453;NO2;caaqm;µg/m³;32.8;2022-10-31T06:15:00+05:30;India
IN;Delhi;Mundka, Delhi - DPCC;28.684678, 77.076574;NO2;caaqm;µg/m³;65.9;2022-10-31T06:15:00+05:30;India
IN;Delhi;Rohini, Delhi - DPCC;28.732528, 77.11992;NO2;caaqm;µg/m³;34.1;2022-10-31T06:15:00+05:30;India
IN;Delhi;Alipur, Delhi - DPCC;28.815329, 77.15301;SO2;caaqm;µg/m³;6.3;2022-10-16T20:45:00+05:30;India
IN;Delhi;Vivek Vihar, Delhi - DPCC;;O3;data.gov.in;µg/m³;6.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Ashok Vihar, Delhi - DPCC;;PM2.5;data.gov.in;µg/m³;179.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;ITO, Delhi - CPCB;;NO2;data.gov.in;µg/m³;43.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Lodhi Road, Delhi - IITM;;SO2;data.gov.in;µg/m³;14.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Lodhi Road, Delhi - IITM;;PM2.5;data.gov.in;µg/m³;181.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Pusa, Delhi - DPCC;;SO2;data.gov.in;µg/m³;12.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;Sirifort, Delhi - CPCB;;O3;data.gov.in;µg/m³;7.0;2022-03-25T05:00:00+05:30;India
IN;Delhi;R K Puram, New Delhi - DPCC;28.5646102, 77.1670103;O3;caaqm;µg/m³;8.7;2018-05-07T01:00:00+05:30;India
IN;Delhi;R K Puram, Delhi - DPCC;28.5648, 77.1744;PM2.5;CPCB;µg/m³;201.0;2018-02-22T02:45:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;28.6683, 77.1167;PM10;CPCB;µg/m³;322.0;2018-02-22T02:45:00+05:30;India
IN;Delhi;Punjabi Bagh, Delhi - DPCC;28.6683, 77.1167;CO;CPCB;µg/m³;9.2;2018-02-22T02:45:00+05:30;India
IN;Delhi;Pusa, Delhi - IMD;;NO2;CPCB;µg/m³;27.68;2018-02-21T12:30:00+05:30;India
IN;Delhi;North Campus, DU, Delhi - IMD;28.6573814, 77.1585447;PM2.5;caaqm;µg/m³;147.6;2022-10-31T07:30:00+05:30;India
IN;Delhi;IHBAS, Dilshad Garden, Delhi - CPCB;28.6811736, 77.3025234;NO2;caaqm;µg/m³;11.42;2022-10-31T07:15:00+05:30;India
IN;Delhi;IHBAS, Dilshad Garden, Delhi - CPCB;28.6811736, 77.3025234;CO;caaqm;µg/m³;1750.0;2022-10-31T07:15:00+05:30;India
IN;Delhi;ITO, Delhi - CPCB;28.628624, 77.24106;PM10;caaqm;µg/m³;235.0;2022-10-31T07:15:00+05:30;India
IN;Delhi;ITO, Delhi - CPCB;28.628624, 77.24106;O3;caaqm;µg/m³;15.8;2022-10-31T07:15:00+05:30;India
IN;Delhi;Aya Nagar, Delhi - IMD;28.4706914, 77.1099364;CO;caaqm;µg/m³;1740.0;2022-10-31T06:45:00+05:30;India
IN;Delhi;Mandir Marg, Delhi - DPCC;28.636429, 77.201067;CO;caaqm;µg/m³;0.0;2022-10-31T06:15:00+05:30;India
IN;Delhi;Jawaharlal Nehru Stadium, Delhi - DPCC;28.58028, 77.233829;NO2;caaqm;µg/m³;88.7;2022-10-31T06:15:00+05:30;India
IN;Delhi;Jahangirpuri, Delhi - DPCC;28.73282, 77.170633;NO2;caaqm;µg/m³;82.5;2022-10-31T06:15:00+05:30;India
IN;Delhi;Nehru Nagar, Delhi - DPCC;28.56789, 77.250515;CO;caaqm;µg/m³;300.0;2022-10-31T06:15:00+05:30;India
